key_resp_hello.keys,key_resp_hello.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,start_bwd.keys,start_bwd.rt,textbox.text,correct,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits,response,start_fwd.keys,start_fwd.rt,textbox_fwd.text,key_resp_fwd.keys,key_resp_fwd.rt,trials_fwd.thisRepN,trials_fwd.thisTrialN,trials_fwd.thisN,trials_fwd.thisIndex,trials_fwd.ran,digitSpan_fwd,digits_fwd
space,7.04,belitarici,001,2023-03-18_20h59.51.895,Digit Span Task,2022.2.5,Win32,4.283425713,,,,,,,,,,,,,,,,,,,,,,,,,,
,,belitarici,001,2023-03-18_20h59.51.895,Digit Span Task,2022.2.5,Win32,4.283425713,space,16.6107,,,,,,,,,,,,,,,,,,,,,,,,
,,belitarici,001,2023-03-18_20h59.51.895,Digit Span Task,2022.2.5,Win32,4.283425713,,,615,1,return,2.2911,0,0,0,0,1,3,516,615,,,,,,,,,,,,
,,belitarici,001,2023-03-18_20h59.51.895,Digit Span Task,2022.2.5,Win32,4.283425713,,,972,1,return,5.0537,0,1,1,1,1,3,279,972,,,,,,,,,,,,
,,belitarici,001,2023-03-18_20h59.51.895,Digit Span Task,2022.2.5,Win32,4.283425713,,,2703,1,return,6.3198,0,0,0,0,1,4,3072,2703,,,,,,,,,,,,
,,belitarici,001,2023-03-18_20h59.51.895,Digit Span Task,2022.2.5,Win32,4.283425713,,,1945,1,return,4.8894,0,1,1,1,1,4,5491,1945,,,,,,,,,,,,
,,belitarici,001,2023-03-18_20h59.51.895,Digit Span Task,2022.2.5,Win32,4.283425713,,,21941,1,return,6.6465,0,0,0,0,1,5,14912,21941,,,,,,,,,,,,
,,belitarici,001,2023-03-18_20h59.51.895,Digit Span Task,2022.2.5,Win32,4.283425713,,,513506,0,return,11.1465,0,1,1,1,1,5,60535,53506,,,,,,,,,,,,
,,belitarici,001,2023-03-18_20h59.51.895,Digit Span Task,2022.2.5,Win32,4.283425713,,,91847,1,return,6.3693,0,2,2,2,1,5,74819,91847,,,,,,,,,,,,
,,belitarici,001,2023-03-18_20h59.51.895,Digit Span Task,2022.2.5,Win32,4.283425713,,,846039,1,return,14.4263,0,0,0,0,1,6,930648,846039,,,,,,,,,,,,
,,belitarici,001,2023-03-18_20h59.51.895,Digit Span Task,2022.2.5,Win32,4.283425713,,,5328944,1,return,10.8119,0,0,0,0,1,7,4498235,5328944,,,,,,,,,,,,
,,belitarici,001,2023-03-18_20h59.51.895,Digit Span Task,2022.2.5,Win32,4.283425713,,,1734452,1,return,14.7009,0,1,1,1,1,7,2544371,1734452,,,,,,,,,,,,
,,belitarici,001,2023-03-18_20h59.51.895,Digit Span Task,2022.2.5,Win32,4.283425713,,,804612904,0,return,18.9485,0,0,0,0,1,8,46229408,80492264,,,,,,,,,,,,
,,belitarici,001,2023-03-18_20h59.51.895,Digit Span Task,2022.2.5,Win32,4.283425713,,,28876907,1,return,11.5297,0,1,1,1,1,8,70967882,28876907,,,,,,,,,,,,
,,belitarici,001,2023-03-18_20h59.51.895,Digit Span Task,2022.2.5,Win32,4.283425713,,,32390172,1,return,9.857,0,2,2,2,1,8,27109323,32390172,,,,,,,,,,,,
,,belitarici,001,2023-03-18_20h59.51.895,Digit Span Task,2022.2.5,Win32,4.283425713,,,244373863,1,return,16.6221,0,0,0,0,1,9,368373442,244373863,,,,,,,,,,,,
,,belitarici,001,2023-03-18_20h59.51.895,Digit Span Task,2022.2.5,Win32,4.283425713,,,919072675,1,return,26.1009,0,1,1,1,1,9,576270919,919072675,,,,,,,,,,,,
,,belitarici,001,2023-03-18_20h59.51.895,Digit Span Task,2022.2.5,Win32,4.283425713,,,1080092016,0,return,18.7565,0,0,0,0,1,10,6432900801,1080092346,,,,,,,,,,,,
,,belitarici,001,2023-03-18_20h59.51.895,Digit Span Task,2022.2.5,Win32,4.283425713,,,7209432648,0,return,24.0523,0,1,1,1,1,10,8467348927,7298437648,,,,,,,,,,,,
,,belitarici,001,2023-03-18_20h59.51.895,Digit Span Task,2022.2.5,Win32,4.283425713,,,3106494814,0,return,21.8463,0,2,2,2,1,10,4184946413,3146494814,,,,,,,,,,,,
,,belitarici,001,2023-03-18_20h59.51.895,Digit Span Task,2022.2.5,Win32,4.283425713,,,,,,,,,,,,,,,,,,,,,,,,,,
,,belitarici,001,2023-03-18_20h59.51.895,Digit Span Task,2022.2.5,Win32,4.283425713,,,,,,,,,,,,,,,space,29.4799,,,,,,,,,,
,,belitarici,001,2023-03-18_20h59.51.895,Digit Span Task,2022.2.5,Win32,4.283425713,,,,1,,,,,,,,,,,,,801,return,2.516,0,0,0,0,1,3,801
,,belitarici,001,2023-03-18_20h59.51.895,Digit Span Task,2022.2.5,Win32,4.283425713,,,,1,,,,,,,,,,,,,627,return,5.4353,0,1,1,1,1,3,627
