key_resp_hello.keys,key_resp_hello.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,start_bwd.keys,start_bwd.rt,textbox.text,correct,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits,response,start_fwd.keys,start_fwd.rt,textbox_fwd.text,key_resp_fwd.keys,key_resp_fwd.rt,trials_fwd.thisRepN,trials_fwd.thisTrialN,trials_fwd.thisN,trials_fwd.thisIndex,trials_fwd.ran,digitSpan_fwd,digits_fwd
space,14.4927,eminenurayhan,001,03-16-2023_15h40.05.944,Digit Span Task,2022.2.5,Win32,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,
,,eminenurayhan,001,03-16-2023_15h40.05.944,Digit Span Task,2022.2.5,Win32,60.04202942,space,22.1934,,,,,,,,,,,,,,,,,,,,,,,,
,,eminenurayhan,001,03-16-2023_15h40.05.944,Digit Span Task,2022.2.5,Win32,60.04202942,,,615,1,return,4.292,0,0,0,0,1,3,516,615,,,,,,,,,,,,
,,eminenurayhan,001,03-16-2023_15h40.05.944,Digit Span Task,2022.2.5,Win32,60.04202942,,,972,1,return,5.329,0,1,1,1,1,3,279,972,,,,,,,,,,,,
,,eminenurayhan,001,03-16-2023_15h40.05.944,Digit Span Task,2022.2.5,Win32,60.04202942,,,273,0,return,4.8296,0,0,0,0,1,4,3072,2703,,,,,,,,,,,,
,,eminenurayhan,001,03-16-2023_15h40.05.944,Digit Span Task,2022.2.5,Win32,60.04202942,,,1945,1,return,10.6251,0,1,1,1,1,4,5491,1945,,,,,,,,,,,,
,,eminenurayhan,001,03-16-2023_15h40.05.944,Digit Span Task,2022.2.5,Win32,60.04202942,,,2831,1,return,7.8441,0,2,2,2,1,4,1382,2831,,,,,,,,,,,,
,,eminenurayhan,001,03-16-2023_15h40.05.944,Digit Span Task,2022.2.5,Win32,60.04202942,,,21941,1,return,9.026,0,0,0,0,1,5,14912,21941,,,,,,,,,,,,
,,eminenurayhan,001,03-16-2023_15h40.05.944,Digit Span Task,2022.2.5,Win32,60.04202942,,,53506,1,return,8.9444,0,1,1,1,1,5,60535,53506,,,,,,,,,,,,
,,eminenurayhan,001,03-16-2023_15h40.05.944,Digit Span Task,2022.2.5,Win32,60.04202942,,,846039,1,return,17.0017,0,0,0,0,1,6,930648,846039,,,,,,,,,,,,
,,eminenurayhan,001,03-16-2023_15h40.05.944,Digit Span Task,2022.2.5,Win32,60.04202942,,,309971,0,return,17.6177,0,1,1,1,1,6,179309,903971,,,,,,,,,,,,
,,eminenurayhan,001,03-16-2023_15h40.05.944,Digit Span Task,2022.2.5,Win32,60.04202942,,,682804,1,return,26.5938,0,2,2,2,1,6,408286,682804,,,,,,,,,,,,
,,eminenurayhan,001,03-16-2023_15h40.05.944,Digit Span Task,2022.2.5,Win32,60.04202942,,,528944,0,return,16.3938,0,0,0,0,1,7,4498235,5328944,,,,,,,,,,,,
,,eminenurayhan,001,03-16-2023_15h40.05.944,Digit Span Task,2022.2.5,Win32,60.04202942,,,172552,0,return,25.1279,0,1,1,1,1,7,2544371,1734452,,,,,,,,,,,,
,,eminenurayhan,001,03-16-2023_15h40.05.944,Digit Span Task,2022.2.5,Win32,60.04202942,,,580536,0,return,49.9057,0,2,2,2,1,7,6375085,5805736,,,,,,,,,,,,
,,eminenurayhan,001,03-16-2023_15h40.05.944,Digit Span Task,2022.2.5,Win32,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,
,,eminenurayhan,001,03-16-2023_15h40.05.944,Digit Span Task,2022.2.5,Win32,60.04202942,,,,,,,,,,,,,,,space,15.038,,,,,,,,,,
,,eminenurayhan,001,03-16-2023_15h40.05.944,Digit Span Task,2022.2.5,Win32,60.04202942,,,,1,,,,,,,,,,,,,801,return,4.2183,0,0,0,0,1,3,801
,,eminenurayhan,001,03-16-2023_15h40.05.944,Digit Span Task,2022.2.5,Win32,60.04202942,,,,1,,,,,,,,,,,,,627,return,2.4271,0,1,1,1,1,3,627
,,eminenurayhan,001,03-16-2023_15h40.05.944,Digit Span Task,2022.2.5,Win32,60.04202942,,,,1,,,,,,,,,,,,,5286,return,2.8173,0,0,0,0,1,4,5286
,,eminenurayhan,001,03-16-2023_15h40.05.944,Digit Span Task,2022.2.5,Win32,60.04202942,,,,1,,,,,,,,,,,,,1029,return,3.6311,0,1,1,1,1,4,1029
,,eminenurayhan,001,03-16-2023_15h40.05.944,Digit Span Task,2022.2.5,Win32,60.04202942,,,,1,,,,,,,,,,,,,39624,return,4.4864,0,0,0,0,1,5,39624
,,eminenurayhan,001,03-16-2023_15h40.05.944,Digit Span Task,2022.2.5,Win32,60.04202942,,,,1,,,,,,,,,,,,,80996,return,3.5786,0,1,1,1,1,5,80996
,,eminenurayhan,001,03-16-2023_15h40.05.944,Digit Span Task,2022.2.5,Win32,60.04202942,,,,1,,,,,,,,,,,,,730142,return,3.0329,0,0,0,0,1,6,730142
,,eminenurayhan,001,03-16-2023_15h40.05.944,Digit Span Task,2022.2.5,Win32,60.04202942,,,,1,,,,,,,,,,,,,179390,return,3.8804,0,1,1,1,1,6,179390
,,eminenurayhan,001,03-16-2023_15h40.05.944,Digit Span Task,2022.2.5,Win32,60.04202942,,,,1,,,,,,,,,,,,,3387235,return,3.4983,0,0,0,0,1,7,3387235
,,eminenurayhan,001,03-16-2023_15h40.05.944,Digit Span Task,2022.2.5,Win32,60.04202942,,,,1,,,,,,,,,,,,,2544261,return,3.4491,0,1,1,1,1,7,2544261
,,eminenurayhan,001,03-16-2023_15h40.05.944,Digit Span Task,2022.2.5,Win32,60.04202942,,,,1,,,,,,,,,,,,,46226408,return,3.0896,0,0,0,0,1,8,46226408
,,eminenurayhan,001,03-16-2023_15h40.05.944,Digit Span Task,2022.2.5,Win32,60.04202942,,,,1,,,,,,,,,,,,,70967182,return,3.8903,0,1,1,1,1,8,70967182
,,eminenurayhan,001,03-16-2023_15h40.05.944,Digit Span Task,2022.2.5,Win32,60.04202942,,,,0,,,,,,,,,,,,,3673842,return,9.518,0,0,0,0,1,9,361373842
,,eminenurayhan,001,03-16-2023_15h40.05.944,Digit Span Task,2022.2.5,Win32,60.04202942,,,,0,,,,,,,,,,,,,520270918,return,9.5919,0,1,1,1,1,9,570270919
,,eminenurayhan,001,03-16-2023_15h40.05.944,Digit Span Task,2022.2.5,Win32,60.04202942,,,,0,,,,,,,,,,,,,686855257,return,7.0364,0,2,2,2,1,9,688655257
,,eminenurayhan,001,03-16-2023_15h40.05.944,Digit Span Task,2022.2.5,Win32,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,
