key_resp_hello.keys,key_resp_hello.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,start_bwd.keys,start_bwd.rt,textbox.text,correct,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits,response,start_fwd.keys,start_fwd.rt,textbox_fwd.text,key_resp_fwd.keys,key_resp_fwd.rt,trials_fwd.thisRepN,trials_fwd.thisTrialN,trials_fwd.thisN,trials_fwd.thisIndex,trials_fwd.ran,digitSpan_fwd,digits_fwd
space,20.095,emirgulcan,001,2023-03-16_13h43.17.498,Digit Span Task,2022.2.5,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,,,,,,
,,emirgulcan,001,2023-03-16_13h43.17.498,Digit Span Task,2022.2.5,Win32,59.97361161,space,3678.029,,,,,,,,,,,,,,,,,,,,,,,,
,,emirgulcan,001,2023-03-16_13h43.17.498,Digit Span Task,2022.2.5,Win32,59.97361161,,,615,1,return,2.0271,0,0,0,0,1,3,516,615,,,,,,,,,,,,
,,emirgulcan,001,2023-03-16_13h43.17.498,Digit Span Task,2022.2.5,Win32,59.97361161,,,972,1,return,2.2837,0,1,1,1,1,3,279,972,,,,,,,,,,,,
,,emirgulcan,001,2023-03-16_13h43.17.498,Digit Span Task,2022.2.5,Win32,59.97361161,,,2703,1,return,2.3579,0,0,0,0,1,4,3072,2703,,,,,,,,,,,,
,,emirgulcan,001,2023-03-16_13h43.17.498,Digit Span Task,2022.2.5,Win32,59.97361161,,,1945,1,return,2.8945,0,1,1,1,1,4,5491,1945,,,,,,,,,,,,
,,emirgulcan,001,2023-03-16_13h43.17.498,Digit Span Task,2022.2.5,Win32,59.97361161,,,21941,1,return,6.3843,0,0,0,0,1,5,14912,21941,,,,,,,,,,,,
,,emirgulcan,001,2023-03-16_13h43.17.498,Digit Span Task,2022.2.5,Win32,59.97361161,,,53506,1,return,6.4449,0,1,1,1,1,5,60535,53506,,,,,,,,,,,,
,,emirgulcan,001,2023-03-16_13h43.17.498,Digit Span Task,2022.2.5,Win32,59.97361161,,,846039,1,return,8.9428,0,0,0,0,1,6,930648,846039,,,,,,,,,,,,
,,emirgulcan,001,2023-03-16_13h43.17.498,Digit Span Task,2022.2.5,Win32,59.97361161,,,903971,1,return,11.9522,0,1,1,1,1,6,179309,903971,,,,,,,,,,,,
