key_resp_hello.keys,key_resp_hello.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,start_bwd.keys,start_bwd.rt,textbox.text,correct,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits,response,start_fwd.keys,start_fwd.rt,textbox_fwd.text,key_resp_fwd.keys,key_resp_fwd.rt,trials_fwd.thisRepN,trials_fwd.thisTrialN,trials_fwd.thisN,trials_fwd.thisIndex,trials_fwd.ran,digitSpan_fwd,digits_fwd
space,16.4955,nurdemirci,001,03-16-2023_10h52.59.497,Digit Span Task,2022.2.5,Win32,58.9240469,,,,,,,,,,,,,,,,,,,,,,,,,,
,,nurdemirci,001,03-16-2023_10h52.59.497,Digit Span Task,2022.2.5,Win32,58.9240469,space,26.1826,,,,,,,,,,,,,,,,,,,,,,,,
,,nurdemirci,001,03-16-2023_10h52.59.497,Digit Span Task,2022.2.5,Win32,58.9240469,,,615,1,return,2.794,0,0,0,0,1,3,516,615,,,,,,,,,,,,
,,nurdemirci,001,03-16-2023_10h52.59.497,Digit Span Task,2022.2.5,Win32,58.9240469,,,972,1,return,2.7538,0,1,1,1,1,3,279,972,,,,,,,,,,,,
,,nurdemirci,001,03-16-2023_10h52.59.497,Digit Span Task,2022.2.5,Win32,58.9240469,,,2703,1,return,3.7569,0,0,0,0,1,4,3072,2703,,,,,,,,,,,,
,,nurdemirci,001,03-16-2023_10h52.59.497,Digit Span Task,2022.2.5,Win32,58.9240469,,,1945,1,return,2.7332,0,1,1,1,1,4,5491,1945,,,,,,,,,,,,
,,nurdemirci,001,03-16-2023_10h52.59.497,Digit Span Task,2022.2.5,Win32,58.9240469,,,21941,1,return,4.2516,0,0,0,0,1,5,14912,21941,,,,,,,,,,,,
,,nurdemirci,001,03-16-2023_10h52.59.497,Digit Span Task,2022.2.5,Win32,58.9240469,,,53506,1,return,4.8932,0,1,1,1,1,5,60535,53506,,,,,,,,,,,,
,,nurdemirci,001,03-16-2023_10h52.59.497,Digit Span Task,2022.2.5,Win32,58.9240469,,,846039,1,return,7.8322,0,0,0,0,1,6,930648,846039,,,,,,,,,,,,
,,nurdemirci,001,03-16-2023_10h52.59.497,Digit Span Task,2022.2.5,Win32,58.9240469,,,903971,1,return,7.1509,0,1,1,1,1,6,179309,903971,,,,,,,,,,,,
