key_resp_hello.keys,key_resp_hello.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,start_bwd.keys,start_bwd.rt,textbox.text,correct,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits,response,start_fwd.keys,start_fwd.rt,textbox_fwd.text,key_resp_fwd.keys,key_resp_fwd.rt,trials_fwd.thisRepN,trials_fwd.thisTrialN,trials_fwd.thisN,trials_fwd.thisIndex,trials_fwd.ran,digitSpan_fwd,digits_fwd
space,21.4528,selinaygundogan,001,2023-03-19_21h14.53.631,Digit Span Task,2022.2.5,Win32,60.0276127,,,,,,,,,,,,,,,,,,,,,,,,,,
,,selinaygundogan,001,2023-03-19_21h14.53.631,Digit Span Task,2022.2.5,Win32,60.0276127,space,45.2054,,,,,,,,,,,,,,,,,,,,,,,,
,,selinaygundogan,001,2023-03-19_21h14.53.631,Digit Span Task,2022.2.5,Win32,60.0276127,,,615,1,return,2.653,0,0,0,0,1,3,516,615,,,,,,,,,,,,
,,selinaygundogan,001,2023-03-19_21h14.53.631,Digit Span Task,2022.2.5,Win32,60.0276127,,,972,1,return,2.4559,0,1,1,1,1,3,279,972,,,,,,,,,,,,
,,selinaygundogan,001,2023-03-19_21h14.53.631,Digit Span Task,2022.2.5,Win32,60.0276127,,,2703,1,return,2.8675,0,0,0,0,1,4,3072,2703,,,,,,,,,,,,
,,selinaygundogan,001,2023-03-19_21h14.53.631,Digit Span Task,2022.2.5,Win32,60.0276127,,,1945,1,return,3.5666,0,1,1,1,1,4,5491,1945,,,,,,,,,,,,
,,selinaygundogan,001,2023-03-19_21h14.53.631,Digit Span Task,2022.2.5,Win32,60.0276127,,,21941,1,return,6.5519,0,0,0,0,1,5,14912,21941,,,,,,,,,,,,
,,selinaygundogan,001,2023-03-19_21h14.53.631,Digit Span Task,2022.2.5,Win32,60.0276127,,,53506,1,return,5.8512,0,1,1,1,1,5,60535,53506,,,,,,,,,,,,
,,selinaygundogan,001,2023-03-19_21h14.53.631,Digit Span Task,2022.2.5,Win32,60.0276127,,,846039,1,return,6.9016,0,0,0,0,1,6,930648,846039,,,,,,,,,,,,
,,selinaygundogan,001,2023-03-19_21h14.53.631,Digit Span Task,2022.2.5,Win32,60.0276127,,,903971,1,return,5.8333,0,1,1,1,1,6,179309,903971,,,,,,,,,,,,
