key_resp_hello.keys,key_resp_hello.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,start_bwd.keys,start_bwd.rt,textbox.text,correct,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits,response,start_fwd.keys,start_fwd.rt,textbox_fwd.text,key_resp_fwd.keys,key_resp_fwd.rt,trials_fwd.thisRepN,trials_fwd.thisTrialN,trials_fwd.thisN,trials_fwd.thisIndex,trials_fwd.ran,digitSpan_fwd,digits_fwd
space,12.8323,zehra,001,03-22-2023_12h31.16.312,Digit Span Task,2022.2.5,Win32,60.21194605,,,,,,,,,,,,,,,,,,,,,,,,,,
,,zehra,001,03-22-2023_12h31.16.312,Digit Span Task,2022.2.5,Win32,60.21194605,space,1.6221,,,,,,,,,,,,,,,,,,,,,,,,
,,zehra,001,03-22-2023_12h31.16.312,Digit Span Task,2022.2.5,Win32,60.21194605,,,615,1,return,3.4669,0,0,0,0,1,3,516,615,,,,,,,,,,,,
,,zehra,001,03-22-2023_12h31.16.312,Digit Span Task,2022.2.5,Win32,60.21194605,,,972,1,return,1.3017,0,1,1,1,1,3,279,972,,,,,,,,,,,,
,,zehra,001,03-22-2023_12h31.16.312,Digit Span Task,2022.2.5,Win32,60.21194605,,,2703,1,return,3.0936,0,0,0,0,1,4,3072,2703,,,,,,,,,,,,
,,zehra,001,03-22-2023_12h31.16.312,Digit Span Task,2022.2.5,Win32,60.21194605,,,1945,1,return,2.964,0,1,1,1,1,4,5491,1945,,,,,,,,,,,,
,,zehra,001,03-22-2023_12h31.16.312,Digit Span Task,2022.2.5,Win32,60.21194605,,,21941,1,return,2.7219,0,0,0,0,1,5,14912,21941,,,,,,,,,,,,
,,zehra,001,03-22-2023_12h31.16.312,Digit Span Task,2022.2.5,Win32,60.21194605,,,53506,1,return,7.1776,0,1,1,1,1,5,60535,53506,,,,,,,,,,,,
,,zehra,001,03-22-2023_12h31.16.312,Digit Span Task,2022.2.5,Win32,60.21194605,,,846039,1,return,4.8968,0,0,0,0,1,6,930648,846039,,,,,,,,,,,,
,,zehra,001,03-22-2023_12h31.16.312,Digit Span Task,2022.2.5,Win32,60.21194605,,,903971,1,return,5.6814,0,1,1,1,1,6,179309,903971,,,,,,,,,,,,
,,zehra,001,03-22-2023_12h31.16.312,Digit Span Task,2022.2.5,Win32,60.21194605,,,532894,0,return,4.2836,0,0,0,0,1,7,4498235,5328944,,,,,,,,,,,,
,,zehra,001,03-22-2023_12h31.16.312,Digit Span Task,2022.2.5,Win32,60.21194605,,,1734452,1,return,5.3386,0,1,1,1,1,7,2544371,1734452,,,,,,,,,,,,
